cliente0,"Óculos de Sol SunStyle, Creme Hidratante ExtraSoft, Tapete ZenComfort, Pelúcia CuteTeddyBear, Kit de Toalhas SoftLux, Love in the City, Almofada Decorativa CushyStyle, Moto Esportiva SpeedMaster"

cliente1,"Bolsa Feminina FashionLady, Loção Corporal BodyFresh, Creme Hidratante ExtraSoft, Anel de Noivado EternalLove, Corda de Pular JumpFit, Fitness, Luvas de Boxe FightMaster, Kit de Pintura ArtMaster"

cliente2,"Romance Amor Proibido, Relógio de Parede VintageClock, Vinho Tinto ClassicRed, Carregador Portátil PowerGo, Escova Dental Elétrica CleanTeeth, Refrigerante SparklingFizz, Conjunto de Jóias SparkleSet, Filme de Ação ActionForce"

cliente3,"Depilador Elétrico SilkSmooth, Tapete ZenComfort, Esmalte de Unhas ColorPop, Jogo de Panelas CuisineMaster, Escova Dental Elétrica CleanTeeth, Filme de Ação ActionForce, Anel de Diamante DiamondGlow, Kit de Pintura ArtMaster"

cliente4,"Kit de Pintura ArtMaster, Jogo de Tabuleiro FamilyFun, Loção Corporal BodyFresh, RelaxPro, Conjunto de Jóias SparkleSet, Carro Elétrico EcoDrive, Filmes, Biografia True Story"

cliente5,"Moto Custom ClassicCharm, Esmalte de Unhas ColorPop, Cerveja Artesanal CraftBrew, Carregador Portátil PowerGo, Conjunto de Jóias SparkleSet, Sabonete Líquido SoftClean, Carrinho de Controle Remoto SpeedRacer, Smartwatch SmartFit"

cliente6,"Bolsa Feminina FashionLady, Filme de Ação ActionForce, Carrinho de Controle Remoto SpeedRacer, Creme Hidratante ExtraSoft, Anel de Noivado EternalLove, Carregador Portátil PowerGo, Camiseta Esportiva ActiveFit, Pulseira de Ouro GoldCharm"

cliente7,"Anel de Noivado EternalLove, Relógio de Parede VintageClock, Romance Amor Proibido, Lenço de Seda SilkCharm, Escova Dental Elétrica CleanTeeth, Chapéu de Palha BeachStyle, Shampoo Anticaspa ScalpCare, Bicicleta Ergométrica FitCycle"

cliente8,"Carrinho de Controle Remoto SpeedRacer, Cerveja Artesanal CraftBrew, Óculos de Sol SunStyle, Escova Alisadora HairStyle, Smartwatch SmartFit, Jogo de Tabuleiro FamilyFun, Tênis de Corrida RunFast, Jóias, Brinquedos"

cliente9,"Romance Amor Proibido, Horror Cinema, Carteira Masculina ManCard, Jogo de Tabuleiro FamilyFun, Óculos de Sol SunStyle, Shampoo Anticaspa ScalpCare, Anel de Noivado EternalLove, Relógio de Pulso TimeLux"

cliente10,"Tapete ZenComfort, Brinco de Prata SilverDrop, Biografia True Story, Chapéu de Palha BeachStyle, Moto Custom ClassicCharm, Carrinho de Controle Remoto SpeedRacer, Lenço de Seda SilkCharm, Almofada Decorativa CushyStyle"

cliente11,"Relógio de Parede VintageClock, Bola de Futebol ScoreMaster, Cerveja Artesanal CraftBre, Filme de Ação ActionForce, Carregador Portátil PowerGo, Escova Dental Elétrica CleanTeeth, Jóias, Casa e Decoração"

cliente12,"Horror Cinema, Bola de Futebol ScoreMaster, Camiseta Esportiva ActiveFit, Tapete ZenComfort, RelaxPro, Cinto de Couro LuxuryBelt, Tapete ZenComfort, Bolsa Feminina FashionLady"

cliente13,"Jogo de Tabuleiro FamilyFun, Camiseta Esportiva ActiveFit, Escova Dental Elétrica CleanTeeth, Carteira Masculina ManCard, Anel de Diamante DiamondGlow, Luvas de Boxe FightMaster, Shampoo Anticaspa ScalpCare, Romance Amor Proibido"

cliente14,"Anel de Noivado EternalLove, Filme de Ação ActionForce, Bicicleta Ergométrica FitCycle, Jóias, Brinquedos, Laptop UltraBook Pro, Relógio de Pulso TimeLux, Filme de Ação ActionForce"

cliente15,"Almofada Decorativa CushyStyle, Kit de Pintura ArtMaster, Tapete ZenComfort, Carrinho de Controle Remoto SpeedRacer, Pipa SkyHigh, Chapéu de Palha BeachStyle, Carro Sedan LuxeDrive, Perfume Eau de Beauté"

cliente16,"Brinco de Prata SilverDrop, Romance Amor Proibido, Bolsa Feminina FashionLady, Carregador Portátil PowerGo, Camiseta Esportiva ActiveFit, Loção Corporal BodyFresh, Filme de Ação ActionForce, Anel de Diamante DiamondGlow"

cliente17,"Smartwatch SmartFit, Jóias, Livros, Bolsa Feminina FashionLady, Smartwatch SmartFit, Relógio de Pulso TimeLux, Almofada Decorativa CushyStyle, Pipa SkyHigh"

cliente18,"Filme de Ação ActionForce, Bolsa Feminina FashionLady, Óculos de Sol SunStyle, Tênis Esportivo FlexFit, Óculos de Sol SunStyle, Tablet iTech, Motos e Carros, Sapatilha BalletStyle"

cliente19,"Óculos de Sol SunStyle, Carrinho de Controle Remoto SpeedRacer, Romance Amor Proibido, Chocolates, Vinho Tinto ClassicRed, Almofada Decorativa CushyStyle, Carro Sedan LuxeDrive, Filme de Ação ActionForce"

cliente20,"Bolsa Feminina FashionLady, Perfume Eau de Beauté, Romance Amor Proibido, Cadeira de Massagem RelaxPro, Óculos de Sol SunStyle, Jóias, Carro Sedan LuxeDrive, Depilador Elétrico SilkSmooth"

cliente21,"Carrinho de Controle Remoto SpeedRacer, Cerveja Artesanal CraftBrew, Romance Amor Proibido, Tapete ZenComfort, Anel de Noivado EternalLove, Brinquedos, Suco de Frutas FruitSplash, Filme de Ação ActionForce"

cliente22,"Depilador Elétrico SilkSmooth, Jogo de Tabuleiro FamilyFun, Jóias, Grip Anti-Stress Release, Perfume Eau de Beauté, Salgadinho CrispyBite, Vinho Tinto ClassicRed, Filme de Ação ActionForce"

cliente23,"Anel de Noivado EternalLove, Almofada Decorativa CushyStyle, Jogo de Tabuleiro FamilyFun, Filme de Ação ActionForce, Óculos de Sol SunStyle, Óculos de Sol SunStyle, Tênis de Corrida RunFast, Tênis de Corrida RunFast"

cliente24,"Jogo de Tabuleiro FamilyFun, Jóias, Óculos de Sol SunStyle, Anel de Diamante DiamondGlow, Óculos de Sol SunStyle, Chapéu de Palha BeachStyle, Carteira Masculina ManCard, Filme de Ação ActionForce"

cliente25,"Anel de Diamante DiamondGlow, Carro Sedan LuxeDrive, Bolsa Feminina FashionLady, Filme de Ação ActionForce, Tênis de Corrida RunFast, Cerveja Artesanal CraftBrew, Escova Alisadora HairStyle, Jogo de Tabuleiro FamilyFun"

